"salario","ingles","genero","ciudad","edad","experiencia","estudio","anos_prom_emps","test_intel_emocional","test_program","amigos_en_plat","num_publ_plat","num_reacc_plat","tipo_de_cargo"
15257.1395344144,"B1","F","Montevideo",45.3352324825246,8.50657084995271,"Bachillerato",11.8033349997601,-99,59.5490569155663,719,225,2515,"Senior"
6492.80442967307,"B2","F","Buenos Aires",35.5136934316251,6.87256119684175,"PhD",10.7790969094228,48.1585800841338,66.0445942752995,207,592,2030,"Junior"
18155.8655646479,"C1","M","Bogota",40.1796102521475,9.59463036457863,"Pregrado",10.1773012327561,-99,53.4604081488214,60,1723,164,"Junior"
7056.4547292165,"A1","M","Buenos Aires",57.6138588248286,11.5932801563903,"Bachillerato",12.467060707591,50.5640671313966,21.6847876738757,728,1455,387,"Senior"
7552.41922810556,"A1","F","Caracas",51.6160083129071,10.4524893977424,"Pregrado",11.6530339298032,51.0343018812876,89.5597126334906,270,741,2481,"Senior"
10648.5138376132,"B2","M","Lima",47.4255795495119,11.2001808967857,"PhD",8.79151423973184,63.7205198950662,99.2186135053635,334,166,1210,"Junior"
8143.30476804229,"A2","F","Lima",34.2577079471666,7.31245779542253,"Pregrado",14.458459096579,53.6873296479136,87.5768892420456,853,972,1520,"Senior"
4808.4898089447,"C1","F","Montevideo",40.3463378557935,6.80420633655217,"Master",6.43057796955144,39.8795101231477,86.7025646031834,11,355,1018,"Junior"
5508.91497976132,"A1","F","Guatemala City",37.7444696354214,6.86204107519076,"Especialización",10.2102685385653,44.5051771848518,43.9672246482223,436,1833,1875,"Junior"
6301.82426001034,"B1","M","Quito",39.6229525106028,7.4789285320206,"Master",9.37010602304615,46.4347042392003,65.5368849867955,123,136,1737,"Senior"
17973.986490033,"C1","M","San Jose",48.5458583172876,10.933253460897,"Bachillerato",8.00079951949326,-99,56.6508153267205,506,1937,675,"Senior"
16138.6367142012,"A2","M","Montevideo",24.86289745057,5.33239331717137,"Master",10.2978844755005,-99,13.3236288954504,976,744,1922,"Junior"
7720.70839565266,"C1","M","Bogota",57.3574446395505,11.8722603785042,"Master",12.1896784236223,53.2061716047524,76.872919104062,663,960,1077,"Junior"
16384.0586225587,"B2","F","Quito",31.8342718677595,6.47753708949703,"Pregrado",11.2212554657101,-99,85.8185653830878,885,402,1358,"Senior"
5766.00260718347,"B2","M","Montevideo",27.9918166666757,5.04252219858107,"Pregrado",8.45993782511659,45.5532709219674,14.4203785457648,736,1263,1208,"Senior"
19011.5796366512,"C2","M","Bogota",40.3566540763713,9.85824395207735,"Bachillerato",9.2294962560951,-99,90.3960286942311,508,1864,673,"Senior"
8008.81818676946,"A1","M","Montevideo",49.3786272695288,10.373575932135,"Master",7.28809553030151,53.9828038258339,44.0359707549214,887,1810,751,"Senior"
3752.73305061559,"B1","M","Santiago",52.8904458645266,8.61147201627567,"Master",12.2020719451914,34.2670627469629,72.6007871306501,498,1120,537,"Senior"
16995.4533777427,"A2","F","Lima",28.4561239436734,6.39258069029838,"Bachillerato",10.4855064944935,-99,74.5580226252787,781,864,1303,"Junior"
6263.10690987972,"A2","F","Bogota",33.8472254653461,6.29665368534129,"Bachillerato",9.94878485989172,46.2176687381765,71.4272452075966,509,1944,1833,"Senior"
